technology,category_applicability,account,item,scaling_parameter,unit,exponent,range_min,range_max,note
IGCC,4,4.1,Gasifier & Auxiliaries,Coal feed rate,lb/h,0.7,435000,483000,"Category 4 is nuanced: use 0.70 for general changes; use 0.00 for small changes within a set gasifier feed rate (<=18,200 lb/h / 220 tpd), since gasifiers are marketed at fixed inlet rates; and for changes large enough to add or remove a full train (e.g. +/-50%), multiply the reference cost by the train-count ratio (x1.5 to add one of two trains, x0.5 to remove one)."
IGCC,5,4.1,Gasifier & Auxiliaries,Coal feed rate,lb/h,1.42,435000,483000,"Category 4 is nuanced: use 0.70 for general changes; use 0.00 for small changes within a set gasifier feed rate (<=18,200 lb/h / 220 tpd), since gasifiers are marketed at fixed inlet rates; and for changes large enough to add or remove a full train (e.g. +/-50%), multiply the reference cost by the train-count ratio (x1.5 to add one of two trains, x0.5 to remove one)."
IGCC,3,4.2,Syngas Cooler,Syngas cooler duty,MMBtu/h,0.33,110,200,Not applicable to category 4.
IGCC,5,4.2,Syngas Cooler,Syngas cooler duty,MMBtu/h,0.33,110,200,Not applicable to category 4.
IGCC,3/4/5,4.3,Air Separation Unit / Oxidant Compression,O2 production / main air compressor load,"TPD, kW",0.6,4000,4800,"BLENDED (Equation 6): 50% on O2 production (TPD, 4,000-4,800) at exponent 0.60, 50% on main air compressor load (kW, 61,000-71,400) at exponent 0.60."
IGCC,3/4/5,4.5,Miscellaneous Gasification Equipment,Coal feed rate,lb/h,0.5,435000,483000,
IGCC,3/4/5,4.6,LT Heat Recovery & Flue Gas Saturation,Coal feed rate,lb/h,n/a,435000,483000,Maintain the reference case ratio of Account 4.6 to Account 4.1 rather than scaling directly.
IGCC,3/4/5,4.7,Flare Stack System,Coal feed rate,lb/h,0.5,435000,483000,
IGCC,3/4/5,4.8,Black Water & Sour Gas Section,Coal feed rate,lb/h,n/a,435000,483000,Costs are included in Account 4.1; no separate scaling guidance.
IGCC,3/4/5,4.15,Major Component Rigging,Coal feed rate,lb/h,0.5,435000,483000,
IGCC,3/4/5,4.16,Gasification Foundations,Coal feed rate,lb/h,0.5,435000,483000,
IGCC,3/4/5,5.1,Double Stage Selexol,Gas flow to CO2 absorber,acfm,0.79,6500,14000,
IGCC,3/4/5,5.2,"Sulfur Removal (Sulfinol, MDEA, single-stage Selexol)",Gas flow to CO2 absorber,acfm,0.7,6500,14000,"Only one data point per system exists, so no exponent was derived; NETL recommends 0.70 on gas flow to the CO2 absorber."
IGCC,3/4/5,5.3,Elemental Sulfur Plant,Sulfur production,lb/h,0.67,10800,12100,
IGCC,3/4/5,5.4,Carbon Dioxide Compression & Drying,CO2 compressor load,kW,0.88,17000,46700,Valid only at the modelled suction/discharge pressures and the compressor configuration compatible with a double-stage Selexol system.
IGCC,3/4/5,5.5,Carbon Dioxide Aftercooler,CO2 aftercooler duty,MMBtu/h,0.83,32,88,
IGCC,3/4/5,5.6,Mercury Removal (carbon bed),Sulfur-impregnated activated carbon initial fill,ft3,1.64,3400,7600,Exponent > 1: this account is diseconomic in scale.
IGCC,3/4/5,5.7,Shift Reactors,WGS catalyst initial fill,ft3,0.8,9800,25800,
IGCC,3/4/5,5.8,COS Hydrolysis,COS hydrolysis catalyst volume,ft3,0.8,1300,2200,
IGCC,3,5.9,Particulate Removal,Candle filter flow rate,acfm,0.79,19200,29300,Not applicable to category 4.
IGCC,5,5.9,Particulate Removal,Candle filter flow rate,acfm,0.79,19200,29300,Not applicable to category 4.
IGCC,3/4/5,5.10,Blowback Gas Systems,Candle filter flow rate,acfm,0.3,13700,29300,
IGCC,3/4/5,5.11,Fuel Gas Piping,Syngas flow rate,lb/h,0.72,182300,870300,
IGCC,3/4/5,5.12,Gas Cleanup Foundations,Sulfur production,lb/h,0.79,10800,12100,
IGCC,3/4/5,6.1,Combustion Turbine Generator,Syngas flow rate,lb/h,0.0,182300,870300,Fixed cost. Scale capture-to-capture or non-capture-to-non-capture only; CTG costs differ slightly between the two and must not be crossed.
IGCC,4,6.2,Syngas Expander,Syngas flow rate,lb/h,0.88,182300,870300,Category 4 only.
IGCC,3/4/5,6.3,Combustion Turbine Accessories,Syngas flow rate,lb/h,0.0,182300,870300,
IGCC,3/4/5,6.4,Compressed Air Piping,Syngas flow rate,lb/h,0.0,182300,870300,
IGCC,3/4/5,6.5,Combustion Turbine Foundations,Syngas flow rate,lb/h,0.0,182300,870300,
IGCC,3/4/5,7.1,Heat Recovery Steam Generator,HRSG duty,MMBtu/h,0.7,1770,1930,
IGCC,3/4/5,7.2,HRSG Accessories,HRSG duty,MMBtu/h,0.7,1770,1930,
IGCC,3,7.3,Ductwork,Gas flow to stack,acfm,0.64,2611000,2705000,
IGCC,4,7.3,Ductwork,Gas flow to stack,acfm,0.7,2611000,2705000,
IGCC,5,7.3,Ductwork,Gas flow to stack,acfm,0.7,2611000,2705000,
IGCC,3/4/5,7.4,Stack,Gas flow to stack,acfm,0.7,2611000,2705000,
IGCC,3,7.5,"HRSG, Ductwork & Stack Foundations",Gas flow to stack,acfm,0.7,2611000,2705000,
IGCC,4,7.5,"HRSG, Ductwork & Stack Foundations",Gas flow to stack,acfm,0.7,2611000,2705000,
IGCC,5,7.5,"HRSG, Ductwork & Stack Foundations",Gas flow to stack,acfm,0.73,2611000,2705000,
IGCC,3/4/5,8.1,Steam Turbine Generator & Accessories,Steam turbine gross power,kW,0.7,217400,301200,
IGCC,3/4/5,8.2,Steam Turbine Plant Auxiliaries,Steam turbine gross power,kW,0.71,217400,301200,
IGCC,3/4/5,8.3a,Condenser & Auxiliaries,Condenser duty,MMBtu/h,0.71,1275,1570,
IGCC,3/4/5,8.4,Steam Piping,Feedwater flow (HP only),lb/h,0.72,839700,1597000,
IGCC,3/4/5,8.5,Turbine Generator Foundations,Steam turbine gross power,kW,0.72,217400,301200,
IGCC,3/4/5,9.1,Cooling Towers,Cooling tower duty,MMBtu/h,0.72,1920,2540,
IGCC,3/4/5,9.2,Circulating Water Pumps,Circulating water flow rate,gpm,0.72,192000,253700,
IGCC,3,9.3,Circulating Water System Auxiliaries,Circulating water flow rate,gpm,0.64,192000,253700,
IGCC,4,9.3,Circulating Water System Auxiliaries,Circulating water flow rate,gpm,0.67,192000,253700,
IGCC,5,9.3,Circulating Water System Auxiliaries,Circulating water flow rate,gpm,0.67,192000,253700,
IGCC,3/4/5,9.4,Circulating Water Piping,Circulating water flow rate,gpm,0.61,192000,253700,
IGCC,3/4/5,9.5,Make-up Water System,Raw water withdrawal,gpm,0.63,4100,6300,
IGCC,3/4/5,9.6,Component Cooling Water System,Circulating water flow rate,gpm,0.64,192000,253700,
IGCC,3/4/5,9.7,Circulating Water System Foundations,Circulating water flow rate,gpm,0.59,192000,253700,
IGCC,3/4/5,10.1,Slag Dewatering & Cooling,Slag production,lb/h,0.64,43600,53000,
IGCC,3/4/5,10.2,Gasifier Ash Depressurization,Slag production,lb/h,0.64,43600,53000,
IGCC,3/4/5,10.3,Cleanup Ash Depressurization,Slag production,lb/h,0.64,43600,53000,
IGCC,3/4/5,10.6,Ash Storage Silos,Slag production,lb/h,0.55,43600,53000,
IGCC,3/4/5,10.7,Ash Transport & Feed Equipment,Slag production,lb/h,0.55,43600,53000,
IGCC,3/4/5,10.8,Miscellaneous Ash Handling Equipment,Slag production,lb/h,0.55,43600,53000,
IGCC,3/4/5,10.9,Ash / Spent Sorbent Foundation,Slag production,lb/h,0.55,43600,53000,
IGCC,3/4/5,11.1,Generator Equipment,Steam turbine gross power,kW,0.54,217400,301200,
IGCC,3/4/5,11.2,Station Service Equipment,Auxiliary load,kW,0.45,122400,185600,
IGCC,3/4/5,11.3,Switchgear & Motor Control,Auxiliary load,kW,0.45,122400,185600,
IGCC,3/4/5,11.4,Conduit & Cable Tray,Auxiliary load,kW,0.45,122400,185600,
IGCC,3/4/5,11.5,Wire & Cable,Auxiliary load,kW,0.45,122400,185600,
IGCC,3/4/5,11.6,Protective Equipment,Auxiliary load,kW,0.0,122400,185600,Fixed cost.
IGCC,3/4/5,11.7,Standby Equipment,Total plant gross power,kW,0.48,684700,765200,
IGCC,3/4/5,11.8,Main Power Transformers,Total plant gross power,kW,0.71,684700,765200,
IGCC,3/4/5,11.9,Electrical Foundations,Total plant gross power,kW,0.7,684700,765200,
IGCC,3/4/5,12.1,IGCC Control Equipment,Auxiliary load,kW,0.13,122400,185600,I&C is largely a fixed cost.
IGCC,3/4/5,12.2,Combustion Turbine Control Equipment,Auxiliary load,kW,0.13,122400,185600,I&C is largely a fixed cost.
IGCC,3/4/5,12.3,Steam Turbine Control Equipment,Auxiliary load,kW,0.13,122400,185600,I&C is largely a fixed cost.
IGCC,3/4/5,12.4,Other Major Component Control Equipment,Auxiliary load,kW,0.13,122400,185600,I&C is largely a fixed cost.
IGCC,3/4/5,12.5,Signal Processing Equipment,Auxiliary load,kW,0.13,122400,185600,I&C is largely a fixed cost.
IGCC,3/4/5,12.6,"Control Boards, Panels & Racks",Auxiliary load,kW,0.13,122400,185600,I&C is largely a fixed cost.
IGCC,3/4/5,12.7,Distributed Control System Equipment,Auxiliary load,kW,0.13,122400,185600,I&C is largely a fixed cost.
IGCC,3/4/5,12.8,Instrument Wiring & Tubing,Auxiliary load,kW,0.13,122400,185600,I&C is largely a fixed cost.
IGCC,3/4/5,12.9,Other I&C Equipment,Auxiliary load,kW,0.13,122400,185600,I&C is largely a fixed cost.
IGCC,3/4/5,13.1,Site Preparation,BEC (minus accounts 13 and 14),$1000,0.09,1494000,2188000,
IGCC,3/4/5,13.2,Site Improvements,BEC (minus accounts 13 and 14),$1000,0.09,1494000,2188000,
IGCC,3/4/5,13.3,Site Facilities,BEC (minus accounts 13 and 14),$1000,0.08,1494000,2188000,
IGCC,3/4/5,14.1,Combustion Turbine Area,Combustion turbine gross power,kW,0.0,348000,580000,
IGCC,3/4/5,14.3,Steam Turbine Building,Steam turbine gross power,kW,0.06,217400,301200,
IGCC,3/4/5,14.4,Administration Building,Steam turbine gross power,kW,0.04,217400,301200,
IGCC,3/4/5,14.5,Circulation Water Pumphouse,Circulating water flow rate,gpm,0.46,192000,253700,
IGCC,3/4/5,14.6,Water Treatment Buildings,Raw water withdrawal,gpm,0.71,4100,6300,
IGCC,3/4/5,14.7,Machine Shop,Steam turbine gross power,kW,0.02,217400,301200,
IGCC,3/4/5,14.8,Warehouse,Steam turbine gross power,kW,0.02,217400,301200,
IGCC,3/4/5,14.9,Other Buildings & Structures,Steam turbine gross power,kW,0.02,217400,301200,
IGCC,3/4/5,14.10,Waste Treating Building & Structures,Raw water withdrawal,gpm,0.09,4100,6300,
NGCC,6,3.1,Feedwater System,Feedwater flow (HP only),lb/h,0.72,803200,1339000,
NGCC,6,3.2,Water Makeup & Pretreating,Raw water withdrawal,gpm,0.73,2900,4700,
NGCC,6,3.3,Other Feedwater Subsystems,Feedwater flow (HP only),lb/h,0.72,803200,1339000,
NGCC,6,3.4,Service Water Systems,Raw water withdrawal,gpm,0.73,2900,4700,
NGCC,6,3.5,Other Boiler Plant Systems,Raw water withdrawal,gpm,0.0,0,0,Fixed cost; no range given.
NGCC,6,3.6,Natural Gas Pipeline and Start-Up System,Natural gas feed rate,lb/h,0.0,0,0,The natural gas pipeline is an ADDITIVE cost and must not be scaled -- scaling it effectively lengthens or shortens the pipe. Build the pipeline cost up separately for your site.
NGCC,6,3.7,Waste Water Treatment Equipment,Process water discharge,gpm,0.71,650,1670,
NGCC,6,3.9,Miscellaneous Plant Equipment,Natural gas feed rate,lb/h,0.0,0,0,
NGCC,6,5.1,Cansolv CO2 Removal System,CO2 product flow rate / gas flow to CO2 absorber,"lb/h, acfm",0.6,370000,617000,"BLENDED: 60% of cost scales on CO2 product flow (lb/h, 370,000-617,000); 40% on gas flow to CO2 absorber (acfm, 1,915,000-3,192,000). Use blend=True."
NGCC,6,5.4,CO2 Compression & Drying,CO2 compressor load,kW,0.41,17000,46700,"Valid only at the modelled suction (28.9 psia) and discharge (2,214.7 psia) pressures."
NGCC,6,5.5,CO2 Compressor Aftercooler,CO2 aftercooler duty,MMBtu/h,0.83,32,88,
NGCC,6,5.12,Gas Cleanup Foundations,CO2 flow rate,lb/h,0.79,370000,617000,
NGCC,6,6.1,Combustion Turbine Generator,Natural gas feed rate,lb/h,0.0,0,0,"Combustion turbines are manufactured in discrete sizes, so this is a fixed cost for a given frame. Do not scale -- change the machine or the count."
NGCC,6,6.3,Combustion Turbine Accessories,Natural gas feed rate,lb/h,0.0,0,0,"Combustion turbines are manufactured in discrete sizes, so this is a fixed cost for a given frame. Do not scale -- change the machine or the count."
NGCC,6,6.4,Compressed Air Piping,Natural gas feed rate,lb/h,0.0,0,0,"Combustion turbines are manufactured in discrete sizes, so this is a fixed cost for a given frame. Do not scale -- change the machine or the count."
NGCC,6,6.5,Combustion Turbine Foundations,Combustion turbine gross power,kW,0.0,0,0,"Combustion turbines are manufactured in discrete sizes, so this is a fixed cost for a given frame. Do not scale -- change the machine or the count."
NGCC,6,7.1,Heat Recovery Steam Generator,HRSG duty,MMBtu/h,0.7,1950,2300,
NGCC,6,7.2,HRSG Accessories,HRSG duty,MMBtu/h,1.4,1950,2300,Exponent > 1: diseconomic in scale.
NGCC,6,7.3,Ductwork,Gas flow to stack,acfm,0.7,1833000,2365000,
NGCC,6,7.4,Stack,Gas flow to stack,acfm,0.7,1833000,2365000,
NGCC,6,7.5,"HRSG, Ductwork & Stack Foundations",Gas flow to stack,acfm,0.7,1833000,2365000,
NGCC,6,7.6,Selective Catalytic Reduction System,Flue gas flow to HRSG,acfm,0.0,0,0,Fixed cost.
NGCC,6,8.1,Steam Turbine Generator & Accessories,Steam turbine gross power,kW,0.8,212500,263000,
NGCC,6,8.2,Steam Turbine Plant Auxiliaries,Steam turbine gross power,kW,0.73,212500,263000,
NGCC,6,8.3,Condenser & Auxiliaries,Condenser duty,MMBtu/h,0.8,788,1340,
NGCC,6,8.4,Steam Piping,Feedwater flow (HP only),lb/h,0.0,803200,1339000,HP steam flow is identical between the NGCC capture and non-capture cases; fixed.
NGCC,6,8.5,Turbine Generator Foundations,Steam turbine gross power,kW,0.73,212500,263000,
NGCC,6,9.1,Cooling Towers,Cooling tower duty,MMBtu/h,0.73,1300,2200,
NGCC,6,9.2,Circulating Water Pumps,Circulating water flow rate,gpm,0.72,135700,220800,
NGCC,6,9.3,Circ. Water System Auxiliaries,Circulating water flow rate,gpm,0.49,135700,220800,
NGCC,6,9.4,Circ. Water Piping,Circulating water flow rate,gpm,0.6,135700,220800,
NGCC,6,9.5,Make-up Water System,Raw water withdrawal,gpm,0.4,2900,4700,
NGCC,6,9.6,Component Cooling Water System,Circulating water flow rate,gpm,0.6,135700,220800,
NGCC,6,9.7,Circ. Water System Foundations,Circulating water flow rate,gpm,0.6,135700,220800,
NGCC,6,11.1,Generator Equipment,Total plant gross power,kW,0.59,689800,740100,
