equipment_id,description,scaled_parameter_unit,scale_factor_n,base_size,base_cost_1998Q1_USD,valid_min,valid_max,r_squared,rel_rmse,n_data_points,reliable,caution,material_basis,location_basis,cost_basis_year,cost_basis_CEPCI,source
mill_roller,"Roller mill incl. bearings, gears, lube system",hp,0.6113,170.3,177470.0,30.0,400.0,1.0,0.0001,8,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
pump_centrifugal,"Centrifugal pump, single/multistage, CS, 150 psig, incl. motor driver",gal/min,0.6072,1748.0,13870.0,100.0,10000.0,0.9564,0.2003,15,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
pump_inline,"General-service in-line pump, CS, incl. motor driver",gal/min,0.4836,209.4,4421.4,10.0,750.0,0.864,0.2229,12,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
pump_reciprocating_duplex,"Reciprocating duplex pump with steam driver, CS",gal/min,0.5672,270.5,16359.0,25.0,1000.0,0.9949,0.0463,11,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
pump_reciprocating_triplex,"Reciprocating triplex (plunger) pump with motor driver, CS",gal/min,0.6291,270.5,35613.0,25.0,1000.0,0.9952,0.0499,11,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
pump_rotary,"Rotary (sliding vane) pump, cast iron, incl. motor driver",gal/min,0.4836,209.4,4421.4,10.0,750.0,0.864,0.2229,12,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
pump_vacuum_1stage,"Mechanical oil-sealed vacuum pump, 1 stage, CS",gal/min,0.6869,228.5,14143.0,30.0,700.0,0.9791,0.1005,9,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
pump_vacuum_2stage,"Mechanical oil-sealed vacuum pump, 2 stage, CS",gal/min,0.5722,228.5,16605.0,30.0,700.0,0.9694,0.1016,9,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
tank_storage_cone_roof,"Cone-roof atmospheric storage tank, field fabricated CS (<2 psia vapour pressure)",gal,0.7154,494200.0,179410.0,50000.0,10000000.0,0.9868,0.1362,9,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
tank_storage_floating_roof,"Floating-roof storage tank, CS (2-15 psia vapour pressure)",gal,0.5378,494200.0,321640.0,50000.0,10000000.0,0.9637,0.1735,9,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
turbine_gas,Gas turbine incl. fuel-gas combustion chamber and multistage expander,hp,0.7951,63930.0,10718000.0,1000.0,370000.0,0.9949,0.1135,11,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
turbine_steam_large,"Steam turbine driver >1000 hp, 400 psig, 3600 rpm, incl. condenser",hp,0.941,7341.0,684510.0,1000.0,30000.0,0.9841,0.1291,8,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
turbine_steam_small,"Steam turbine driver <1000 hp, 400 psig, 3600 rpm, incl. condenser",hp,0.1738,118.9,29349.0,10.0,950.0,1.0,0.001,5,False,exponent outside 0.25-1.05,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
vessel_horizontal_150psig,"Horizontal drum / KO separator, CS A515, 150 psig, 650 F",gal,0.5742,4099.0,34904.0,100.0,100000.0,0.9754,0.1859,13,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
vessel_horizontal_15psig,"Horizontal drum / KO separator, CS A515, 15 psig, 650 F, saddle supported",gal,0.405,4099.0,21440.0,100.0,100000.0,0.9879,0.0925,13,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
vessel_vertical_150psig,"Vertical pressure vessel, CS A515, 150 psig, 650 F",gal,0.3857,1013.0,15573.0,100.0,5000.0,0.9869,0.0555,9,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
vessel_vertical_15psig,"Vertical pressure vessel, CS A515, 15 psig, 650 F, L/D~3 (incl. heads, skirt, nozzles)",gal,0.3161,1013.0,12690.0,100.0,5000.0,0.9847,0.05,9,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
